index	sample_fp	plate	well	tile	round
40854	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-000__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	0	1
40855	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-000__Channel_DAPI,GFP.nd2	1	B2	0	2
40856	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-000__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	0	3
40857	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-001__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	1	1
40858	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-001__Channel_DAPI,GFP.nd2	1	B2	1	2
40859	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-001__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	1	3
40860	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-002__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	2	1
40861	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-002__Channel_DAPI,GFP.nd2	1	B2	2	2
40862	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-002__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	2	3
40863	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-003__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	3	1
40864	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-003__Channel_DAPI,GFP.nd2	1	B2	3	2
40865	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-003__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	3	3
40866	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-004__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	4	1
40867	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-004__Channel_DAPI,GFP.nd2	1	B2	4	2
40868	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-004__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	4	3
40869	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-005__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	5	1
40870	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-005__Channel_DAPI,GFP.nd2	1	B2	5	2
40871	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-005__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	5	3
40872	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-006__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	6	1
40873	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-006__Channel_DAPI,GFP.nd2	1	B2	6	2
40874	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-006__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	6	3
40875	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-007__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	7	1
40876	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-007__Channel_DAPI,GFP.nd2	1	B2	7	2
40877	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-007__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	7	3
40878	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-008__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	8	1
40879	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-008__Channel_DAPI,GFP.nd2	1	B2	8	2
40880	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-008__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	8	3
40881	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-009__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	9	1
40882	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-009__Channel_DAPI,GFP.nd2	1	B2	9	2
