plate	cycle	well	tile
1	1	B2	0
1	1	B2	1
1	1	B2	2
1	1	B2	3
1	1	B2	4
1	1	B2	5
1	1	B2	6
1	1	B2	7
1	1	B2	8
1	1	B2	9
1	1	B2	10
1	1	B2	11
1	1	B2	12
1	1	B2	13
1	1	B2	14
1	1	B2	15
1	1	B2	16
1	1	B2	17
1	1	B2	18
1	1	B2	19
1	1	B2	20
1	1	B2	21
1	1	B2	22
1	1	B2	23
1	1	B2	24
1	1	B2	25
1	1	B2	26
1	1	B2	27
1	1	B2	28
1	1	B2	29
1	1	B2	30
1	1	B2	31
1	1	B2	32
1	1	B2	33
1	1	B2	34
1	1	B2	35
1	1	B2	36
1	1	B2	37
1	1	B2	38
1	1	B2	39
1	1	B2	40
1	1	B2	41
1	1	B2	42
1	1	B2	43
1	1	B2	44
1	1	B2	45
1	1	B2	46
1	1	B2	47
1	1	B2	48
1	1	B2	49
1	1	B2	50
1	1	B2	51
1	1	B2	52
1	1	B2	53
1	1	B2	54
1	1	B2	55
1	1	B2	56
1	1	B2	57
1	1	B2	58
1	1	B2	59
1	1	B2	60
1	1	B2	61
1	1	B2	62
1	1	B2	63
1	1	B2	64
1	1	B2	65
1	1	B2	66
1	1	B2	67
1	1	B2	68
1	1	B2	69
1	1	B2	70
1	1	B2	71
1	1	B2	72
1	1	B2	73
1	1	B2	74
1	1	B2	75
1	1	B2	76
1	1	B2	77
1	1	B2	78
1	1	B2	79
1	1	B2	80
1	1	B2	81
1	1	B2	82
1	1	B2	83
1	1	B2	84
1	1	B2	85
1	1	B2	86
1	1	B2	87
1	1	B2	88
1	1	B2	89
1	1	B2	90
1	1	B2	91
1	1	B2	92
1	1	B2	93
1	1	B2	94
1	1	B2	95
1	1	B2	96
1	1	B2	97
1	1	B2	98
1	1	B2	99
1	1	B2	100
1	1	B2	101
1	1	B2	102
1	1	B2	103
1	1	B2	104
1	1	B2	105
1	1	B2	106
1	1	B2	107
1	1	B2	108
1	1	B2	109
1	1	B2	110
1	1	B2	111
1	1	B2	112
1	1	B2	113
1	1	B2	114
1	1	B2	115
