sample_fp	plate	cycle	well	tile
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-000__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	0
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	1
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	2
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-003__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	3
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-004__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	4
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-005__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	5
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-006__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	6
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-007__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	7
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-008__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	8
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-009__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	9
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-010__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	10
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-011__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	11
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-012__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	12
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-013__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	13
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-014__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	14
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-015__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	15
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-016__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	16
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-017__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	17
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-018__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	18
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-019__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	19
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-020__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	20
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-021__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	21
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-022__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	22
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-023__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	23
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-024__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	24
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-025__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	25
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-026__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	26
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-027__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	27
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-028__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	28
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-029__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	29
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-030__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	30
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-031__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	31
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-032__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	32
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-033__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	33
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-034__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	34
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-035__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	35
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-036__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	36
